,livre,lien
66,Directives volontaires pour une gestion durable des sols,http://www.fao.org/3/i6874fr/I6874FR.pdf
67,Blé dur De l’organisation des filières à la structuration d’un réseau méditerranéen,http://www.onagri.tn/uploads/docagri/15390.pdf
68,Etude de la filière laitière bovine dans le gouvernorat de Kasserine Rapport,http://www.onagri.nat.tn/uploads/filieres/lait/GIZ_Etude%20Lait%20Kasserine_2014.pdf
69,Etude de la filière de l’huile d’olive dans le Gouvernorat de Kairouan Rapport Final.,https://onagri.home.blog/2020/06/18/analyse-de-la-filiere-oleicole-dans-le-gouvernorat-de-siliana/
70,Etude de la filière Légumineuse alimentaire et fourragère dans le Gouvernorat de Béja,http://www.onagri.nat.tn/uploads/filieres/cereales%20/cereales-beja.pdf
71,Etude de la filière Lait dans le Gouvernorat de Sidi Bouzid Rapport final.,http://www.onagri.nat.tn/uploads/filieres/lait/GIZ_Etude%20Lait%20Sidi%20Bouzid_2014.pdf
72,Etude de la filière Lait dans le Gouvernorat de Kairouan Rapport final.,http://www.onagri.nat.tn/uploads/filieres/lait/GIZ_Etude%20Lait%20Kairouan_2014.pdf
73,Etude de la filière laitière bovine dans le gouvernorat de Kasserine Rapport final.,http://www.onagri.nat.tn/uploads/filieres/lait/GIZ_Etude%20Lait%20Kasserine_2014.pdf
74,Plan régional d’environnement et de développement durable (PREDD) du gouvernorat du Kef,https://portail-region-kef.tn/wp-content/uploads/2018/03/PREDD-LE-KEF-71116.pdf
75,TABLEAU DE BORD DES CEREALES EN TUNISIE,http://www.onagri.nat.tn/uploads/filieres/cereales%20/tb-CORRIGe-cereales.pdf
76,La covid-19 et l’impact sur la sécurité alimentaire dans la région du Proche-Orient et de l’Afrique du Nord:  comment y répondre?,http://www.fao.org/3/ca8778fr/CA8778FR.pdf
77,"Le Pin d’Alep en Tunisie: Ecologie, Gestion et Usages",http://www.inrgref.agrinet.tn/useruploads/ouvrage_Pin_Alep_final.pdf
78,سند : خبير زراعة الحبوب لتحسين المردود,https://onagri.home.blog/2020/06/11/%d8%b3%d9%86%d8%af-%d8%ae%d8%a8%d9%8a%d8%b1-%d8%b2%d8%a7%d8%b9%d8%a9-%d8%a7%d9%84%d8%ad%d8%a8%d9%88%d8%a8-%d9%84%d8%aa%d8%ad%d8%b3%d9%8a%d9%86-%d8%a7%d9%84%d9%85%d8%b1%d8%af%d9%88%d8%af/
79,Céréales et Oléoprotéagineux au Maghreb Pour un co-développement de filières territorialisées; Chapitre 3: La Tunisie.,http://www.ipemed.coop/adminIpemed/media/fich_article/1404979543_IPEMED%20-%20C%C3%A9r%C3%A9ales%20et%20ol%C3%A9oprot%C3%A9agineux%20au%20Maghreb.pdf
80,Analyse de la filière céréalière en Tunisie et identification des principaux points de dysfonctionnement de l’origine des Pertes.,http://www.onagri.nat.tn/uploads/Etudes/RapportIVF.pdf
81,Analyse de la filière oléicole Tunisienne,http://www.fao.org/3/a-i4104f.pdf
82,Évaluation des ressources forestières mondiales 2020 : Principaux résultats,http://www.fao.org/3/CA8753fr/CA8753fr.pdf
83,La Filière des Céréales : Sécurité alimentaire et gestion des importations de blé dans les pays arabes,http://www.fao.org/3/a-bp079f.pdf
84,"La situation des forêts du monde 2020: Forêts, biodiversité et activité humaine",http://www.fao.org/3/ca8642fr/CA8642FR.pdf
85,"The impact of COVID-19 on Tunisia’s economy, agri-food system, and households",http://www.itceq.tn/wp-content/uploads/files/notes2020/COVID19-Tunis.pdf
86,Mesures préservant la filière agricole et le bon fonctionnement de l’industrie agroalimentaire face à la pandémie du Covid-19,http://www.ites.tn/uploads/publications/files/0ac1420e7198c3775bfce59c41d39045.pdf
87,Addressing the impacts of COVID-19 in food crises,http://www.fao.org/3/ca8497en/CA8497EN.pdf
88,دراسة استشرافية حول الأمن الغذائي في أفق 2030,http://www.onagri.nat.tn/uploads/securite-alimentaire/RSAlimentaire.pdf?fbclid=IwAR09rsROvcZjWh8mc22sDyFCDyO1tCfMzTLfnU-hYd8y2HHHAtDHmcF17K0
89,حوصلة حول تطور صادرات المنتجات الفلاحية والغذائية خلال الثلاثية الأولى من سنة 2020 في ظل الأزمة الناجمة عن الجائحة الوبائية كوفيد 19,http://www.onagri.nat.tn/uploads/securite-alimentaire/developpement-exportatios/Exportationscovid19.pdf?fbclid=IwAR0VyeXFSWfmE17YUdjwuuNe6PHsyHFF-aAE-O-j_unluurb79jiYCg6B2U
90,Suivi de la sécurité alimentaire et la nutrition à l’appui du Programme de développement durable à l’horizon 2030,http://www.fao.org/3/a-i6188f.pdf
91,Guide de référence sur l’agriculture intelligente face au climat,http://www.fao.org/3/I7994FR/i7994fr.pdf
92,La situation mondiale de l’alimentation et de l’agriculture 2019,http://www.fao.org/3/ca6030fr/ca6030fr.pdf
93,Évaluation de l’approvisionnement alimentaire dans un contexte de pénurie d’eau dans le région NENA,http://www.fao.org/3/CA0867FR/ca0867fr.pdf
94,"La situation des marchés des produits agricoles 2018: Commerce agricole, changement climatique et sécurité alimentaire",http://www.fao.org/3/I9542FR/i9542fr.pdf
95,Réaliser la Faim zéro en Afrique d’ici à 2025. Bilan des progrès accomplis,https://www.partenariat-francais-eau.fr/wp-content/uploads/2019/11/GEF_FR_WEB-SIMPLE.pdf
96,La politique française de gestion des ressources en eau et de la biodiversité aquatique : une source d’inspiration pour la mise en œuvre de l’Agenda 2030,https://www.partenariat-francais-eau.fr/wp-content/uploads/2019/11/GEF_FR_WEB-SIMPLE.pdf
97,Programme mondial du recensement de l’agriculture 2020,http://www.fao.org/3/CA1963FR/ca1963fr.pdf
98,Jeunes & emploi : L’agriculture plutôt que l’émigration,https://cgspace.cgiar.org/bitstream/handle/10568/101490/SP193F_PDF.pdf
99,Technologie numérique – Comment l’intelligence artificielle transforme l’agriculture,https://cgspace.cgiar.org/bitstream/handle/10568/106119/Spore-195-FR-web.pdf
100,"Rapport sur la numérisation de l’agriculture africaine, 2018-2019",https://cgspace.cgiar.org/bitstream/handle/10568/103199/Executive%20Summary%20V4.3%20FR%20V1.5%20ONLINE.pdf
101,Transformer l’alimentation et l’agriculture pour réaliser les ODD: 20 actions interconnectées pour orienter les décideurs,http://www.fao.org/3/i9900fr/I9900FR.pdf
102,Soutenir une agriculture axée sur la nutrition grâce aux espèces négligées et sous-utilisées: Cadre opérationnel,https://cgspace.cgiar.org/bitstream/handle/10568/102463/Soutenir_Padulosi_2019_FRE.pdf
103,La situation mondiale des pêches et de l’aquaculture 2018: Atteindre les objectifs de développement durable,http://www.fao.org/3/I9540FR/i9540fr.pdf
104,La situation des forêts du monde:  Les forêts au service du développement durable,http://www.fao.org/3/I9535FR/i9535fr.pdf
105,Plan Stratégique du Codex 2020-2025,http://www.fao.org/3/ca5645fr/CA5645FR.pdf
106,Innovation et promotion des chaînes de valeurs de produits agricoles locaux en Afrique,https://cgspace.cgiar.org/bitstream/handle/10568/101206/2077_PDF.pdf
107,Tunisie en Chiffres 2018,http://www.ins.tn/sites/default/files/publication/pdf/tec-2019-v11-web2.pdf
108,L’État de la sécurité alimentaire et de la nutrition dans le monde 2019: Se prémunir contre les ralentissements et les fléchissements économiques,http://www.fao.org/3/ca5162fr/ca5162fr.pdf
109,L’État de la sécurité alimentaire et de la nutrition dans le monde,http://www.fao.org/3/I9553FR/i9553fr.pdf
110,Agriculture et dynamiques territoriales dans le Sahel Méridional Tunisien,http://cnudst.rnrt.tn/wp-content/uploads/2017/08/Nouvelles-acquisitions-du-CNUDST-2017.pdf
